# 90prime spectral response curves
# compiled by C. W. Engelbracht, March 2009
# filter: Washington M
# 3 (filter * Q.E.) response curves are listed:
#    blue (chips 1 and 4), broadband (chips 2 and 3),
#    and average [(blue + broadband) / 2)]
# wavelength (nm)        filter    filt.*blue    filt.*broadband       average
            458.0         0.637         0.563              0.510         0.536
            458.4         0.647         0.572              0.519         0.545
            458.8         0.656         0.579              0.526         0.553
            459.2         0.666         0.588              0.534         0.561
            459.6         0.675         0.595              0.541         0.568
            460.0         0.683         0.602              0.548         0.575
            460.4         0.691         0.609              0.555         0.582
            460.8         0.699         0.616              0.561         0.589
            461.2         0.707         0.622              0.567         0.595
            461.6         0.714         0.628              0.573         0.601
            462.0         0.720         0.634              0.579         0.606
            462.4         0.727         0.639              0.584         0.611
            462.8         0.733         0.644              0.589         0.617
            463.2         0.740         0.650              0.594         0.622
            463.6         0.746         0.655              0.599         0.627
            464.0         0.751         0.659              0.604         0.632
            464.4         0.756         0.664              0.608         0.636
            464.8         0.762         0.668              0.613         0.640
            465.2         0.766         0.671              0.616         0.644
            465.6         0.771         0.676              0.621         0.648
            466.0         0.776         0.679              0.624         0.652
            466.4         0.780         0.682              0.628         0.655
            466.8         0.785         0.686              0.632         0.659
            467.2         0.788         0.689              0.635         0.662
            467.6         0.792         0.692              0.638         0.665
            468.0         0.796         0.695              0.641         0.668
            468.4         0.800         0.698              0.644         0.671
            468.8         0.802         0.700              0.647         0.673
            469.2         0.806         0.703              0.650         0.676
            469.6         0.809         0.706              0.653         0.679
            470.0         0.812         0.708              0.655         0.681
            470.4         0.814         0.709              0.657         0.683
            470.8         0.817         0.712              0.660         0.686
            471.2         0.820         0.714              0.662         0.688
            471.6         0.822         0.715              0.664         0.690
            472.0         0.824         0.717              0.666         0.691
            472.4         0.828         0.720              0.669         0.694
            472.8         0.830         0.721              0.670         0.696
            473.2         0.832         0.722              0.672         0.697
            473.6         0.833         0.723              0.673         0.698
            474.0         0.836         0.725              0.676         0.700
            474.4         0.838         0.726              0.677         0.702
            474.8         0.840         0.728              0.679         0.703
            475.2         0.842         0.729              0.681         0.705
            475.6         0.843         0.730              0.682         0.706
            476.0         0.845         0.731              0.683         0.707
            476.4         0.846         0.732              0.685         0.709
            476.8         0.848         0.734              0.687         0.710
            477.2         0.850         0.735              0.688         0.711
            477.6         0.851         0.735              0.689         0.712
            478.0         0.853         0.737              0.691         0.714
            478.4         0.854         0.738              0.692         0.715
            478.8         0.856         0.739              0.694         0.716
            479.2         0.857         0.739              0.695         0.717
            479.6         0.858         0.740              0.696         0.718
            480.0         0.859         0.740              0.696         0.718
            480.4         0.861         0.741              0.698         0.720
            480.8         0.862         0.742              0.699         0.721
            481.2         0.863         0.742              0.700         0.721
            481.6         0.864         0.743              0.701         0.722
            482.0         0.866         0.744              0.703         0.724
            482.4         0.866         0.744              0.703         0.724
            482.8         0.868         0.746              0.705         0.725
            483.2         0.868         0.746              0.705         0.725
            483.6         0.869         0.746              0.706         0.726
            484.0         0.870         0.746              0.707         0.727
            484.4         0.871         0.747              0.708         0.727
            484.8         0.872         0.747              0.709         0.728
            485.2         0.873         0.748              0.710         0.729
            485.6         0.874         0.748              0.711         0.729
            486.0         0.875         0.749              0.712         0.730
            486.4         0.875         0.748              0.712         0.730
            486.8         0.876         0.749              0.713         0.731
            487.2         0.877         0.749              0.714         0.731
            487.6         0.877         0.749              0.714         0.732
            488.0         0.879         0.750              0.716         0.733
            488.4         0.880         0.751              0.717         0.734
            488.8         0.880         0.750              0.717         0.733
            489.2         0.881         0.751              0.718         0.734
            489.6         0.881         0.751              0.718         0.734
            490.0         0.882         0.751              0.719         0.735
            490.4         0.882         0.751              0.719         0.735
            490.8         0.884         0.752              0.721         0.737
            491.2         0.884         0.752              0.721         0.736
            491.6         0.885         0.752              0.722         0.737
            492.0         0.886         0.752              0.723         0.738
            492.4         0.886         0.752              0.723         0.737
            492.8         0.887         0.753              0.724         0.738
            493.2         0.887         0.753              0.724         0.738
            493.6         0.887         0.753              0.725         0.739
            494.0         0.889         0.753              0.726         0.740
            494.4         0.889         0.753              0.726         0.740
            494.8         0.889         0.753              0.727         0.740
            495.2         0.889         0.753              0.727         0.740
            495.6         0.891         0.754              0.728         0.741
            496.0         0.890         0.753              0.728         0.740
            496.4         0.891         0.753              0.729         0.741
            496.8         0.892         0.754              0.730         0.742
            497.2         0.892         0.754              0.730         0.742
            497.6         0.893         0.754              0.731         0.743
            498.0         0.893         0.754              0.731         0.742
            498.4         0.893         0.755              0.731         0.743
            498.8         0.893         0.754              0.731         0.743
            499.2         0.893         0.755              0.732         0.743
            499.6         0.893         0.755              0.732         0.743
            500.0         0.895         0.757              0.734         0.745
            500.4         0.894         0.756              0.733         0.744
            500.8         0.894         0.755              0.733         0.744
            501.2         0.896         0.757              0.734         0.746
            501.6         0.896         0.757              0.735         0.746
            502.0         0.896         0.757              0.735         0.746
            502.4         0.896         0.758              0.737         0.747
            502.8         0.896         0.757              0.737         0.747
            503.2         0.896         0.758              0.738         0.748
            503.6         0.896         0.758              0.739         0.748
            504.0         0.896         0.757              0.739         0.748
            504.4         0.896         0.758              0.740         0.749
            504.8         0.897         0.758              0.741         0.749
            505.2         0.897         0.758              0.742         0.750
