# 90prime spectral response curves
# compiled by C. W. Engelbracht, March 2009
# filter: B
# 3 (filter * Q.E.) response curves are listed:
#    blue (chips 1 and 4), broadband (chips 2 and 3),
#    and average [(blue + broadband) / 2)]
# wavelength (nm)        filter    filt.*blue    filt.*broadband       average
            563.0         0.007         0.006              0.006         0.006
            566.0         0.004         0.003              0.004         0.003
            567.9         0.003         0.003              0.003         0.003
            569.9         0.002         0.002              0.002         0.002
            585.6        -0.003        -0.003             -0.003        -0.003
            590.2        -0.002        -0.002             -0.002        -0.002
            593.4        -0.002        -0.002             -0.002        -0.002
            596.1        -0.002        -0.002             -0.002        -0.002
            603.7        -0.002        -0.002             -0.002        -0.002
            606.7        -0.002        -0.002             -0.002        -0.002
            609.8        -0.003        -0.003             -0.003        -0.003
            611.8        -0.002        -0.002             -0.002        -0.002
